Object,Confidence,Distance,Date,Time
couch,0.35,0,2025-04-12,20:58:26
person,0.88,0,2025-04-12,20:58:26
couch,0.32,0,2025-04-12,20:58:26
person,0.87,0,2025-04-12,20:58:26
couch,0.33,0,2025-04-12,20:58:26
person,0.93,0,2025-04-12,20:58:26
couch,0.38,0,2025-04-12,20:58:26
person,0.92,0,2025-04-12,20:58:26
couch,0.31,0,2025-04-12,20:58:26
person,0.92,0,2025-04-12,20:58:27
couch,0.3,0,2025-04-12,20:58:27
couch,0.26,0,2025-04-12,20:58:27
person,0.92,0,2025-04-12,20:58:27
couch,0.33,0,2025-04-12,20:58:27
person,0.92,0,2025-04-12,20:58:27
couch,0.36,0,2025-04-12,20:58:27
person,0.92,0,2025-04-12,20:58:27
couch,0.31,0,2025-04-12,20:58:27
couch,0.29,0,2025-04-12,20:58:27
person,0.92,0,2025-04-12,20:58:27
couch,0.31,0,2025-04-12,20:58:27
couch,0.26,0,2025-04-12,20:58:27
person,0.92,0,2025-04-12,20:58:27
couch,0.3,0,2025-04-12,20:58:27
couch,0.29,0,2025-04-12,20:58:27
